# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
1145,15431795,,-1,,,0,"array([0.67231196, 0.79089396])"
1146,16167914,left,13834125,pre-DN-VNC,no official annotation,62,"array([0.66670687, 0.7647104 ])"
1147,11891098,right,14638686,pre-DN-VNC,no official annotation,70,"array([0.68258058, 0.76130029])"
1148,16937799,left,17654991,pre-DN-VNC,PL-16,70,"array([0.69046101, 0.71550162])"
1149,13167730,right,19166349,pre-DN-VNC,no official annotation,68,"array([0.67259333, 0.77709564])"
1150,17746794,,-1,,,0,"array([0.68259846, 0.75241041])"
1151,1805418,right,5768240,pre-DN-SEZ,no official annotation,70,"array([0.66297055, 0.74465456])"
1152,17777981,left,16685117,pre-DN-VNC,no official annotation,62,"array([0.6385379, 0.778969 ])"
1153,8801715,left,19092010,pre-DN-VNC,no official annotation,86,"array([0.66409602, 0.74102727])"
1154,5898284,right,10355356,pre-DN-VNC,no official annotation,70,"array([0.66286238, 0.73379401])"
1155,20316708,left,19167389,pre-DN-VNC,no official annotation,70,"array([0.69272321, 0.73580444])"
1156,8565131,right,14319185,LHN,LHN-21; CN-57,32,"array([0.61835238, 0.82708774])"
1157,15829660,right,3650006,PN,gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,31,"array([0.63699933, 0.8992566 ])"
1158,15547235,right,17036160,PN,gustatory-external 2nd_order PN,44,"array([0.59933678, 0.83125151])"
1159,19156025,right,4274518,pre-DN-VNC,no official annotation,74,"array([0.6140133 , 0.76297698])"
1160,9577562,,-1,,,0,"array([0.6296235 , 0.80343994])"
1161,5606265,left,19718010,ascending,unknown modality,37,"array([0.62416377, 0.8419361 ])"
1162,17822238,right,8037197,LN,CN-2,32,"array([0.59403197, 0.83655359])"
1163,17942676,right,14319498,LHN,no official annotation,47,"array([0.62855982, 0.82231637])"
1164,17125520,right,12839441,LHN,LHN-18; CN-54,47,"array([0.60722288, 0.81185712])"
1165,7935088,right,7934904,PN,35a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,12,"array([0.57734648, 0.8697918 ])"
1166,9469519,right,16782830,MBON,MBON-b2,59,"array([0.57467066, 0.83206498])"
1167,8094859,right,17147698,MBON,MBON-b1,59,"array([0.57952967, 0.83103285])"
1168,15680043,,-1,,,0,"array([0.64213462, 0.7952796 ])"
1169,15525858,right,15998768,sensory,gustatory-pharyngeal,5,"array([0.5767084 , 0.95577616])"
1170,16295025,right,9447255,LN,LHN-6,32,"array([0.58454689, 0.85174216])"
1171,18264509,right,10400440,CN,no official annotation,62,"array([0.63747402, 0.82471316])"
1172,10160250,right,3450751,PN,mPN; Multiglomerular PN 5; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,"array([0.59861935, 0.83967707])"
1173,8245513,right,7845346,PN,63a PN; uPN; olfactory 2nd_order PN,12,"array([0.57130431, 0.86208648])"
1174,8252067,right,7865696,PN,1a PN; uPN; olfactory 2nd_order PN,12,"array([0.56554569, 0.86925212])"
1175,8270683,right,8340950,PN,vPN; visual 2nd_order PN,32,"array([0.57312288, 0.84870145])"
1176,9539868,right,9567051,PN,vPN; visual 2nd_order PN,32,"array([0.59172527, 0.83404823])"
1177,17658943,,-1,,,0,"array([0.63287641, 0.84591237])"
1178,16486385,left,11178891,LN,LHN-10; CN-46,32,"array([0.5952709 , 0.85377114])"
1179,16485079,right,17434825,LN,Multiglomerular PN 4; LHN-11; CN-47,32,"array([0.59255064, 0.85130957])"
1180,5976168,right,14034311,DN-SEZ,no official annotation,66,"array([0.63905231, 0.83928968])"
1181,14519048,left,-1,KC,KC,33,"array([0.54274402, 0.79493847])"
1182,15673454,,-1,,,0,"array([0.56013909, 0.77205741])"
1183,13713529,right,2797480,pre-DN-VNC,no official annotation,58,"array([0.6022897 , 0.80503217])"
1184,9116228,right,16415910,pre-DN-VNC,no official annotation,73,"array([0.65430782, 0.79206964])"
1185,17629213,,-1,,,0,"array([0.67698555, 0.78639659])"
1186,10781924,right,16468935,pre-DN-VNC,no official annotation,62,"array([0.66638316, 0.80738102])"
1187,14501257,right,16545179,pre-DN-VNC,no official annotation,58,"array([0.65588587, 0.77920118])"
1188,13242336,,-1,,,0,"array([0.65884932, 0.79373174])"
1189,3232808,right,10961507,LHN,no official annotation,44,"array([0.63745422, 0.78868194])"
